Metrics;Run 1;Run 2;Run 3;Run 4;AVG;Unit;Test
Coremark Score;92689.143784;31731.928667;80812.978564;27550.486266;58196.13432025;;coremark
lscpu;0;0;;;0;;coremark
proccpu;0;0;;;0;;coremark
proccpu_mapping;0;0;;;0;;coremark
cpu_vuln;0;0;;;0;;coremark
gcc_version;0;0;;;0;;coremark
glibc_version;0;0;;;0;;coremark
End to End Runtime;291.10274863243103;286.1303017139435;;;288.61652517318726;;coremark
Composite Score;2982.4069041306866;4086.82;2661.0785445025294;2848.67;3020.3320671931856;4353.78;2835.085443380167;2994.26;3222.804119900821;;scimark2
FFT (1024);2164.7416855873894;2224.796623735985;;;2194.769154661687;;scimark2
SOR (100x100);2396.7101492546026;2420.0377301336484;;;2408.3739396941255;;scimark2
Monte Carlo;933.6885619659739;919.6931961098452;943.1197605491052;944.3639906093053;935.2163773085574;;scimark2
Sparse matmult (N=1000, nz=5000);2717.926358510965;2754.36;2775.4790039909553;2834.59;2770.5888406254803;;scimark2
LU (100x100);6698.9677653345025;6738.227217556235;;;6718.597491445369;;scimark2
FFT (N=1024);3353.82;3439.98;;;3396.9;;scimark2
SOR (100 x 100);3241.57;3321.21;;;3281.3900000000003;;scimark2
MonteCarlo;842.7;843.43;864.6;864.6;853.8325;;scimark2
LU (M=100, N=100);10241.67;11308.55;;;10775.11;;scimark2
FFT (1048576);652.6603499974673;668.4669774414012;;;660.5636637194343;;scimark2
SOR (1000x1000);1871.7088220879075;1919.160505337798;;;1895.4346637128529;;scimark2
Sparse matmult (N=100000, nz=1000000);2848.4003919813435;3730.6;3392.132558757593;3799.43;3442.640737684734;;scimark2
LU (1000x1000);7012.929962336082;7251.303184754737;;;7132.11657354541;;scimark2
FFT (N=1048576);651.08;666.29;;;658.685;;scimark2
SOR (1000 x 1000);2458.32;2514.86;;;2486.59;;scimark2
LU (M=1000, N=1000);6559.92;7126.1;;;6843.01;;scimark2
lscpu;0;0;;;0;;scimark2
proccpu;0;0;;;0;;scimark2
proccpu_mapping;0;0;;;0;;scimark2
cpu_vuln;0;0;;;0;;scimark2
gcc_version;0;0;;;0;;scimark2
glibc_version;0;0;;;0;;scimark2
End to End Runtime;265.78839468955994;286.95511531829834;;;276.37175500392914;;scimark2